Bank Ref,Debit,Credit,Value Date,Description,Counterparty
UTR_STL20260818001,,792357.51,2026-08-18,Gateway settlement STL20260818001,Payment Gateway
UTR_NOISE_0,,41985.12,2026-08-15,Miscellaneous deposit 0,Corp 2
UTR_NOISE_1,,37984.72,2026-08-16,Miscellaneous deposit 1,Corp 7
UTR_NOISE_2,,48855.20,2026-08-14,Miscellaneous deposit 2,Corp 92
UTR_NOISE_3,,1076.96,2026-08-16,Miscellaneous deposit 3,Corp 82
UTR_NOISE_4,,1733.76,2026-08-16,Miscellaneous deposit 4,Corp 65
UTR_NOISE_5,,6584.52,2026-08-15,Miscellaneous deposit 5,Corp 74
UTR_NOISE_6,,936.57,2026-08-16,Miscellaneous deposit 6,Corp 68
UTR_NOISE_7,,344.10,2026-08-15,Miscellaneous deposit 7,Corp 67
UTR_NOISE_8,,1501.30,2026-08-13,Miscellaneous deposit 8,Corp 86
UTR_NOISE_9,,1082.87,2026-08-16,Miscellaneous deposit 9,Corp 72
UTR_NOISE_10,,268.04,2026-08-15,Miscellaneous deposit 10,Corp 99
UTR_NOISE_11,,542.16,2026-08-16,Miscellaneous deposit 11,Corp 19
UTR_NOISE_12,,6998.65,2026-08-13,Miscellaneous deposit 12,Corp 27
UTR_NOISE_13,,1374.37,2026-08-14,Miscellaneous deposit 13,Corp 30
UTR_NOISE_14,,6260.99,2026-08-14,Miscellaneous deposit 14,Corp 42
UTR_NOISE_15,,588.11,2026-08-16,Miscellaneous deposit 15,Corp 48
UTR_NOISE_16,,1196.21,2026-08-15,Miscellaneous deposit 16,Corp 37
UTR_NOISE_17,,1286.40,2026-08-14,Miscellaneous deposit 17,Corp 33
UTR_NOISE_18,,1869.28,2026-08-17,Miscellaneous deposit 18,Corp 22
UTR_NOISE_19,,629.30,2026-08-16,Miscellaneous deposit 19,Corp 62
UTR_NOISE_20,,1355.85,2026-08-13,Miscellaneous deposit 20,Corp 65
UTR_NOISE_21,,20458.00,2026-08-17,Miscellaneous deposit 21,Corp 51
UTR_NOISE_22,,6040.78,2026-08-16,Miscellaneous deposit 22,Corp 88
UTR_NOISE_23,,6435.80,2026-08-17,Miscellaneous deposit 23,Corp 31
UTR_NOISE_24,,2520.31,2026-08-16,Miscellaneous deposit 24,Corp 33
UTR_NOISE_25,,2109.85,2026-08-15,Miscellaneous deposit 25,Corp 69
UTR_NOISE_26,,1687.15,2026-08-13,Miscellaneous deposit 26,Corp 18
UTR_NOISE_27,,596.20,2026-08-17,Miscellaneous deposit 27,Corp 33
UTR_NOISE_28,,5535.25,2026-08-16,Miscellaneous deposit 28,Corp 80
UTR_NOISE_29,,460.82,2026-08-16,Miscellaneous deposit 29,Corp 51
UTR_NOISE_30,,6202.93,2026-08-15,Miscellaneous deposit 30,Corp 64
UTR_NOISE_31,,8718.85,2026-08-13,Miscellaneous deposit 31,Corp 59
UTR_NOISE_32,,811.88,2026-08-13,Miscellaneous deposit 32,Corp 26
UTR_NOISE_33,,3964.56,2026-08-14,Miscellaneous deposit 33,Corp 35
UTR_NOISE_34,,1686.10,2026-08-17,Miscellaneous deposit 34,Corp 66
UTR_NOISE_35,,1618.34,2026-08-16,Miscellaneous deposit 35,Corp 77
UTR_NOISE_36,,349.10,2026-08-13,Miscellaneous deposit 36,Corp 93
UTR_NOISE_37,,49798.98,2026-08-13,Miscellaneous deposit 37,Corp 60
UTR_NOISE_38,,3322.91,2026-08-15,Miscellaneous deposit 38,Corp 98
UTR_NOISE_39,,50650.44,2026-08-16,Miscellaneous deposit 39,Corp 36
UTR_NOISE_40,,316.32,2026-08-17,Miscellaneous deposit 40,Corp 64
UTR_NOISE_41,,746.93,2026-08-14,Miscellaneous deposit 41,Corp 88
UTR_NOISE_42,,144.51,2026-08-16,Miscellaneous deposit 42,Corp 40
UTR_NOISE_43,,528.14,2026-08-14,Miscellaneous deposit 43,Corp 26
UTR_NOISE_44,,3779.94,2026-08-15,Miscellaneous deposit 44,Corp 38
UTR_NOISE_45,,7821.95,2026-08-17,Miscellaneous deposit 45,Corp 96
UTR_NOISE_46,,9337.68,2026-08-16,Miscellaneous deposit 46,Corp 32
UTR_NOISE_47,,8176.00,2026-08-15,Miscellaneous deposit 47,Corp 90
UTR_NOISE_48,,40218.48,2026-08-15,Miscellaneous deposit 48,Corp 26
UTR_NOISE_49,,48009.55,2026-08-13,Miscellaneous deposit 49,Corp 37
UTR_NOISE_50,,1000.25,2026-08-17,Miscellaneous deposit 50,Corp 95
UTR_NOISE_51,,946.37,2026-08-15,Miscellaneous deposit 51,Corp 78
UTR_NOISE_52,,7876.50,2026-08-15,Miscellaneous deposit 52,Corp 14
UTR_NOISE_53,,9571.03,2026-08-13,Miscellaneous deposit 53,Corp 48
UTR_NOISE_54,,1831.20,2026-08-15,Miscellaneous deposit 54,Corp 31
UTR_NOISE_55,,294.54,2026-08-15,Miscellaneous deposit 55,Corp 43
UTR_NOISE_56,,35106.63,2026-08-13,Miscellaneous deposit 56,Corp 92
UTR_NOISE_57,,34051.84,2026-08-14,Miscellaneous deposit 57,Corp 16
UTR_NOISE_58,,234808.47,2026-08-14,Miscellaneous deposit 58,Corp 2
UTR_NOISE_59,,5679.03,2026-08-13,Miscellaneous deposit 59,Corp 58
UTR_NOISE_60,,1014.74,2026-08-16,Miscellaneous deposit 60,Corp 65
UTR_NOISE_61,,435.22,2026-08-15,Miscellaneous deposit 61,Corp 99
UTR_NOISE_62,,1117.52,2026-08-13,Miscellaneous deposit 62,Corp 40
UTR_NOISE_63,,862.21,2026-08-15,Miscellaneous deposit 63,Corp 66
UTR_NOISE_64,,1818.06,2026-08-15,Miscellaneous deposit 64,Corp 74
