txn_id,ref_id,amount,currency,timestamp,status,payer_id,memo
pd000,PITCH-REFUNDS,1000.00,INR,2026-08-17T09:00:00Z,captured,cust_0,Order
pd001,PITCH-REFUNDS,1000.00,INR,2026-08-17T10:01:00Z,captured,cust_1,Order
pd002,PITCH-REFUNDS,1000.00,INR,2026-08-17T11:02:00Z,captured,cust_2,Order
pd003,PITCH-REFUNDS,1000.00,INR,2026-08-17T12:03:00Z,captured,cust_3,Order
pd004,PITCH-REFUNDS,1000.00,INR,2026-08-17T13:04:00Z,captured,cust_4,Order
pd005,PITCH-REFUNDS,1000.00,INR,2026-08-17T14:05:00Z,captured,cust_5,Order
pd006,PITCH-REFUNDS,1000.00,INR,2026-08-17T15:06:00Z,captured,cust_6,Order
pd007,PITCH-REFUNDS,1000.00,INR,2026-08-17T16:07:00Z,captured,cust_7,Order
pd008,PITCH-REFUNDS,1000.00,INR,2026-08-17T17:08:00Z,captured,cust_8,Order
pd009,PITCH-REFUNDS,1000.00,INR,2026-08-17T09:09:00Z,captured,cust_9,Order
pd010,PITCH-REFUNDS,1000.00,INR,2026-08-17T10:10:00Z,captured,cust_10,Order
pd011,PITCH-REFUNDS,1000.00,INR,2026-08-17T11:11:00Z,captured,cust_11,Order
pd012,PITCH-REFUNDS,1000.00,INR,2026-08-17T12:12:00Z,captured,cust_12,Order
pd013,PITCH-REFUNDS,1000.00,INR,2026-08-17T13:13:00Z,captured,cust_13,Order
pd014,PITCH-REFUNDS,1000.00,INR,2026-08-17T14:14:00Z,captured,cust_14,Order
pd015,PITCH-REFUNDS,1000.00,INR,2026-08-17T15:15:00Z,captured,cust_15,Order
pd016,PITCH-REFUNDS,1000.00,INR,2026-08-17T16:16:00Z,captured,cust_16,Order
pd017,PITCH-REFUNDS,1000.00,INR,2026-08-17T17:17:00Z,captured,cust_17,Order
pd018,PITCH-REFUNDS,1000.00,INR,2026-08-17T09:18:00Z,captured,cust_18,Order
pd019,PITCH-REFUNDS,1000.00,INR,2026-08-17T10:19:00Z,captured,cust_19,Order
pdr0,PITCH-REFUNDS,-1000.00,INR,2026-08-17T18:00:00Z,processed,cust_1,Refund
pdr1,PITCH-REFUNDS,-1000.00,INR,2026-08-17T18:01:00Z,processed,cust_1,Refund
pdr2,PITCH-REFUNDS,-1000.00,INR,2026-08-17T18:02:00Z,processed,cust_1,Refund
