txn_id,ref_id,amount,currency,timestamp,status,payer_id,memo
pf000,PITCH-FAILED,1000.00,INR,2026-08-17T09:00:00Z,captured,cust_0,Order
pf001,PITCH-FAILED,1000.00,INR,2026-08-17T10:01:00Z,captured,cust_1,Order
pf002,PITCH-FAILED,1000.00,INR,2026-08-17T11:02:00Z,captured,cust_2,Order
pf003,PITCH-FAILED,1000.00,INR,2026-08-17T12:03:00Z,captured,cust_3,Order
pf004,PITCH-FAILED,1000.00,INR,2026-08-17T13:04:00Z,captured,cust_4,Order
pf005,PITCH-FAILED,1000.00,INR,2026-08-17T14:05:00Z,captured,cust_5,Order
pf006,PITCH-FAILED,1000.00,INR,2026-08-17T15:06:00Z,captured,cust_6,Order
pf007,PITCH-FAILED,1000.00,INR,2026-08-17T16:07:00Z,captured,cust_7,Order
pf008,PITCH-FAILED,1000.00,INR,2026-08-17T17:08:00Z,captured,cust_8,Order
pf009,PITCH-FAILED,1000.00,INR,2026-08-17T09:09:00Z,captured,cust_9,Order
px0,PITCH-FAILED,1000.00,INR,2026-08-17T10:00:00Z,failed,cust_1,Card declined
px1,PITCH-FAILED,1000.00,INR,2026-08-17T10:00:00Z,failed,cust_1,Card declined
px2,PITCH-FAILED,1000.00,INR,2026-08-17T10:00:00Z,failed,cust_1,Card declined
px3,PITCH-FAILED,1000.00,INR,2026-08-17T10:00:00Z,failed,cust_1,Card declined
px4,PITCH-FAILED,1000.00,INR,2026-08-17T10:00:00Z,failed,cust_1,Card declined
pa0,PITCH-FAILED,1000.00,INR,2026-08-17T10:00:00Z,authorized,cust_1,Not captured
pa1,PITCH-FAILED,1000.00,INR,2026-08-17T10:00:00Z,authorized,cust_1,Not captured
pa2,PITCH-FAILED,1000.00,INR,2026-08-17T10:00:00Z,authorized,cust_1,Not captured
