txn_id,amount,currency,timestamp,status,ref_id,payer_id,memo
pay_MON000,349.00,INR,2026-08-17T07:23:00+00:00,captured,STL20260817AARNA,cust_0000,Online order
pay_MON001,499.00,INR,2026-08-17T07:46:00+00:00,captured,STL20260817AARNA,cust_0001,Online order
pay_MON002,649.00,INR,2026-08-17T08:09:00+00:00,captured,STL20260817AARNA,cust_0002,Online order
pay_MON003,899.00,INR,2026-08-17T08:32:00+00:00,captured,STL20260817AARNA,cust_0003,Online order
pay_MON004,1199.00,INR,2026-08-17T08:55:00+00:00,captured,STL20260817AARNA,cust_0004,Online order
pay_MON005,1499.00,INR,2026-08-17T09:18:00+00:00,captured,STL20260817AARNA,cust_0005,Online order
pay_MON006,2299.00,INR,2026-08-17T09:41:00+00:00,captured,STL20260817AARNA,cust_0006,Online order
pay_MON007,2999.00,INR,2026-08-17T10:04:00+00:00,captured,STL20260817AARNA,cust_0007,Online order
pay_MON008,349.00,INR,2026-08-17T10:27:00+00:00,captured,STL20260817AARNA,cust_0008,Online order
pay_MON009,499.00,INR,2026-08-17T10:50:00+00:00,captured,STL20260817AARNA,cust_0009,Online order
pay_MON010,649.00,INR,2026-08-17T11:13:00+00:00,captured,STL20260817AARNA,cust_0010,Online order
pay_MON011,899.00,INR,2026-08-17T11:36:00+00:00,captured,STL20260817AARNA,cust_0011,Online order
pay_TUE000,349.00,INR,2026-08-18T07:23:00+00:00,captured,STL20260818AARNA,cust_1000,Online order
pay_TUE001,499.00,INR,2026-08-18T07:46:00+00:00,captured,STL20260818AARNA,cust_1001,Online order
pay_TUE002,649.00,INR,2026-08-18T08:09:00+00:00,captured,STL20260818AARNA,cust_1002,Online order
pay_TUE003,899.00,INR,2026-08-18T08:32:00+00:00,captured,STL20260818AARNA,cust_1003,Online order
pay_TUE004,1199.00,INR,2026-08-18T08:55:00+00:00,captured,STL20260818AARNA,cust_1004,Online order
pay_TUE005,1499.00,INR,2026-08-18T09:18:00+00:00,captured,STL20260818AARNA,cust_1005,Online order
pay_TUE006,2299.00,INR,2026-08-18T09:41:00+00:00,captured,STL20260818AARNA,cust_1006,Online order
pay_TUE007,2999.00,INR,2026-08-18T10:04:00+00:00,captured,STL20260818AARNA,cust_1007,Online order
pay_TUE008,349.00,INR,2026-08-18T10:27:00+00:00,captured,STL20260818AARNA,cust_1008,Online order
pay_TUE009,499.00,INR,2026-08-18T10:50:00+00:00,captured,STL20260818AARNA,cust_1009,Online order
pay_TUE010,649.00,INR,2026-08-18T11:13:00+00:00,captured,STL20260818AARNA,cust_1010,Online order
pay_TUE011,899.00,INR,2026-08-18T11:36:00+00:00,captured,STL20260818AARNA,cust_1011,Online order
pay_TUE012,1199.00,INR,2026-08-18T11:59:00+00:00,captured,STL20260818AARNA,cust_1012,Online order
pay_TUE013,1499.00,INR,2026-08-18T12:22:00+00:00,captured,STL20260818AARNA,cust_1013,Online order
pay_WED000,349.00,INR,2026-08-19T07:23:00+00:00,captured,STL20260819AARNA,cust_2000,Online order
pay_WED001,499.00,INR,2026-08-19T07:46:00+00:00,captured,STL20260819AARNA,cust_2001,Online order
pay_WED002,649.00,INR,2026-08-19T08:09:00+00:00,captured,STL20260819AARNA,cust_2002,Online order
pay_WED003,899.00,INR,2026-08-19T08:32:00+00:00,captured,STL20260819AARNA,cust_2003,Online order
pay_WED004,1199.00,INR,2026-08-19T08:55:00+00:00,captured,STL20260819AARNA,cust_2004,Online order
pay_WED005,1499.00,INR,2026-08-19T09:18:00+00:00,captured,STL20260819AARNA,cust_2005,Online order
pay_WED006,2299.00,INR,2026-08-19T09:41:00+00:00,captured,STL20260819AARNA,cust_2006,Online order
pay_WED007,2999.00,INR,2026-08-19T10:04:00+00:00,captured,STL20260819AARNA,cust_2007,Online order
pay_WED008,349.00,INR,2026-08-19T10:27:00+00:00,captured,STL20260819AARNA,cust_2008,Online order
pay_WED009,499.00,INR,2026-08-19T10:50:00+00:00,captured,STL20260819AARNA,cust_2009,Online order
pay_WED010,649.00,INR,2026-08-19T11:13:00+00:00,captured,STL20260819AARNA,cust_2010,Online order
pay_THU000,349.00,INR,2026-08-20T07:23:00+00:00,captured,,cust_3000,Online order
pay_THU001,499.00,INR,2026-08-20T07:46:00+00:00,captured,,cust_3001,Online order
pay_THU002,649.00,INR,2026-08-20T08:09:00+00:00,captured,,cust_3002,Online order
pay_THU003,899.00,INR,2026-08-20T08:32:00+00:00,captured,,cust_3003,Online order
pay_THU004,1199.00,INR,2026-08-20T08:55:00+00:00,captured,,cust_3004,Online order
pay_THU005,1499.00,INR,2026-08-20T09:18:00+00:00,captured,,cust_3005,Online order
pay_THU006,2299.00,INR,2026-08-20T09:41:00+00:00,captured,,cust_3006,Online order
pay_THU007,2999.00,INR,2026-08-20T10:04:00+00:00,captured,,cust_3007,Online order
pay_THU008,349.00,INR,2026-08-20T10:27:00+00:00,captured,,cust_3008,Online order
pay_THU009,499.00,INR,2026-08-20T10:50:00+00:00,captured,,cust_3009,Online order
pay_THU010,649.00,INR,2026-08-20T11:13:00+00:00,captured,,cust_3010,Online order
pay_THU011,899.00,INR,2026-08-20T11:36:00+00:00,captured,,cust_3011,Online order
pay_THU012,1199.00,INR,2026-08-20T11:59:00+00:00,captured,,cust_3012,Online order
pay_FRI000,349.00,INR,2026-08-21T07:23:00+00:00,captured,STL20260821AARNA,cust_4000,Online order
pay_FRI001,499.00,INR,2026-08-21T07:46:00+00:00,captured,STL20260821AARNA,cust_4001,Online order
pay_FRI002,649.00,INR,2026-08-21T08:09:00+00:00,captured,STL20260821AARNA,cust_4002,Online order
pay_FRI003,899.00,INR,2026-08-21T08:32:00+00:00,captured,STL20260821AARNA,cust_4003,Online order
pay_FRI004,1199.00,INR,2026-08-21T08:55:00+00:00,captured,STL20260821AARNA,cust_4004,Online order
pay_FRI005,1499.00,INR,2026-08-21T09:18:00+00:00,captured,STL20260821AARNA,cust_4005,Online order
pay_FRI006,2299.00,INR,2026-08-21T09:41:00+00:00,captured,STL20260821AARNA,cust_4006,Online order
pay_FRI007,2999.00,INR,2026-08-21T10:04:00+00:00,captured,STL20260821AARNA,cust_4007,Online order
pay_FRI008,349.00,INR,2026-08-21T10:27:00+00:00,captured,STL20260821AARNA,cust_4008,Online order
pay_FRI009,499.00,INR,2026-08-21T10:50:00+00:00,captured,STL20260821AARNA,cust_4009,Online order
pay_FRI010,649.00,INR,2026-08-21T11:13:00+00:00,captured,STL20260821AARNA,cust_4010,Online order
pay_FRI011,899.00,INR,2026-08-21T11:36:00+00:00,captured,STL20260821AARNA,cust_4011,Online order
pay_FRIDUP,899.00,INR,2026-08-21T08:32:00+00:00,captured,STL20260821AARNA,cust_4003,Online order
