date,payment,vendor,invoice,amount_cents
2026-07-01,4520,VNDE960709B38,CR2607015136,5384
2026-07-01,4521,VNDE960709B38,CR2607015137,5256
2026-07-01,4522,VNDE960709B38,CR2607015138,3488
2026-07-01,4523,VNDE960709B38,CR2607015139,5576
2026-07-01,4524,VNDE960709B38,CR2607015140,5512
2026-07-01,4525,VNDE960709B38,CR2607015141,5424
2026-07-01,4526,VNDE960709B38,CR2607015142,5640
2026-07-01,4527,VNDE960709B38,CR2607015143,5832
2026-07-01,4528,VNDE960709B38,CR2607015144,5896
2026-07-01,4529,VNDE960709B38,CR2607015145,5960
2026-07-01,4530,VNDE960709B38,CR2607015146,5832
2026-07-01,4531,VNDE960709B38,CR2607015147,5832
2026-07-01,6044,VNDDC32CEF05A,1158228,-33651
2026-07-01,6808,VND45EAEDDBC2,CR/CN/6/13-6/26/26,116128
2026-07-01,6809,VNDC29A266294,DV-KM-6.15.2026,35000
2026-07-01,6810,VND56EC956286,6/2026,200000
2026-07-01,6811,VND2020C437A0,6/2026,200000
2026-07-01,6812,VNDB95E8E037A,6/2026,200000
2026-07-01,6813,VNDE6A23FABFB,CR/LD/6.13-06.26.26,261288
2026-07-01,6814,VND007E0F2C41,06/17/26-06/30/26,291667
2026-07-01,6815,VND6595524291,CR/MD/06.13-06-26-25,261288
2026-07-01,6816,VND1B50F89A73,JUNE 2026,408333
2026-07-01,6817,VND655105FDF8,7611-04,156000
2026-07-01,77,VND12199F9892,6/2026,200000
2026-07-01,78,VND3F4E3D5034,6/2026,200000
2026-07-01,79,VND177A3C09EE,1897,741993
2026-07-01,80,VND44164B06BC,354753040,129400
2026-07-02,101,VND88879B21FB,0031911,892200
2026-07-02,102,VND0F82AF1081,6057622203,32198
2026-07-02,102,VND0F82AF1081,6063346845,18000
2026-07-02,102,VND0F82AF1081,6066133720,20590
2026-07-02,102,VND0F82AF1081,6066133722,376
2026-07-02,102,VND0F82AF1081,6066133724,5999
2026-07-02,102,VND0F82AF1081,6066402453,799
2026-07-02,102,VND0F82AF1081,6066402454,9629
2026-07-02,102,VND0F82AF1081,6066472749,19914
2026-07-02,103,VND0D186B42D7,351713948,952102
2026-07-02,105,VND12D72438EF,4005366,20000
2026-07-02,106,VNDE9006C6230,025160672,26374
2026-07-02,108,VND8AA7C5834A,9943448820,496024
2026-07-02,109,VND5696B5D7DE,96793554,534
2026-07-02,109,VND5696B5D7DE,96933853,49354
2026-07-02,109,VND5696B5D7DE,96933854,412
2026-07-02,109,VND5696B5D7DE,96933857,11954
2026-07-02,109,VND5696B5D7DE,96933858,6591
2026-07-02,109,VND5696B5D7DE,96933859,371073
2026-07-02,109,VND5696B5D7DE,96933860,213055
2026-07-02,109,VND5696B5D7DE,96933861,42378
2026-07-02,109,VND5696B5D7DE,96933862,21782
2026-07-02,109,VND5696B5D7DE,96933863,46864
2026-07-02,109,VND5696B5D7DE,97073744,224206
2026-07-02,109,VND5696B5D7DE,97103113,6948
2026-07-02,109,VND5696B5D7DE,97103114,27048
2026-07-02,109,VND5696B5D7DE,97103115,12192
2026-07-02,109,VND5696B5D7DE,97103116,5366
2026-07-02,109,VND5696B5D7DE,97103117,108345
2026-07-02,109,VND5696B5D7DE,97103118,8108
2026-07-02,109,VND5696B5D7DE,97103119,35206
2026-07-02,109,VND5696B5D7DE,97103120,15770
2026-07-02,109,VND5696B5D7DE,97141845,21654
2026-07-02,109,VND5696B5D7DE,97141846,7861
2026-07-02,109,VND5696B5D7DE,97141847,27387
2026-07-02,109,VND5696B5D7DE,97141848,74941
2026-07-02,109,VND5696B5D7DE,97141849,2352
2026-07-02,109,VND5696B5D7DE,97141851,2138
2026-07-02,109,VND5696B5D7DE,97141854,7483
2026-07-02,109,VND5696B5D7DE,97141855,15240
2026-07-02,109,VND5696B5D7DE,97141856,5080
2026-07-02,109,VND5696B5D7DE,97141857,5362
2026-07-02,109,VND5696B5D7DE,97141858,6594
2026-07-02,109,VND5696B5D7DE,97141862,1924
2026-07-02,109,VND5696B5D7DE,97141865,204163
2026-07-02,109,VND5696B5D7DE,97141866,1016
2026-07-02,109,VND5696B5D7DE,97141867,294
2026-07-02,109,VND5696B5D7DE,97141868,4341
2026-07-02,109,VND5696B5D7DE,97141869,40434
2026-07-02,109,VND5696B5D7DE,97174203,43830
2026-07-02,109,VND5696B5D7DE,97197632,8240
2026-07-02,109,VND5696B5D7DE,97197634,1026671
2026-07-02,109,VND5696B5D7DE,97216259,30480
2026-07-02,109,VND5696B5D7DE,977141852,15293
2026-07-02,110,VND6A8F32B4F0,9-344-35767,750
2026-07-02,111,VND09E9FBF696,26SubPanelJun15,7500
2026-07-02,112,VND0ADEE8CD25,215155-10,11397100
2026-07-02,113,VNDCD52791086,AJ6321S,58840
2026-07-02,115,VND01508B6F9B,0000706715236,3000
2026-07-02,116,VNDCB04A1851E,2611094,231039
2026-07-02,117,VND8F200F3D33,86248160,99134
2026-07-02,118,VND506093857D,B7212524,225046
2026-07-02,118,VND506093857D,B7218360,42723
2026-07-02,118,VND506093857D,B7222681,11128
2026-07-02,118,VND506093857D,B7222690,107168
2026-07-02,118,VND506093857D,B7222693,12957
2026-07-02,118,VND506093857D,B7222906,31998
2026-07-02,118,VND506093857D,B7222915,8430
2026-07-02,118,VND506093857D,B7222965,31388
2026-07-02,118,VND506093857D,B7222968,13190
2026-07-02,118,VND506093857D,B7223072,11110
2026-07-02,118,VND506093857D,B7223073,3235
2026-07-02,118,VND506093857D,B7223074,63638
2026-07-02,118,VND506093857D,B7223088,20236
2026-07-02,118,VND506093857D,B7223090,54479
2026-07-02,118,VND506093857D,B7223094,32709
2026-07-02,118,VND506093857D,B7223282,63995
2026-07-02,118,VND506093857D,B7223284,4272
2026-07-02,118,VND506093857D,B7228220,50030
2026-07-02,118,VND506093857D,B7228222,8508
2026-07-02,118,VND506093857D,B7228428,27948
2026-07-02,118,VND506093857D,B7228431,22093
2026-07-02,118,VND506093857D,B7228580,45100
2026-07-02,118,VND506093857D,B7228629,222425
2026-07-02,118,VND506093857D,B7228666,106464
2026-07-02,118,VND506093857D,B7228677,22190
2026-07-02,118,VND506093857D,B7228682,11554
2026-07-02,118,VND506093857D,B7228689,6964
2026-07-02,118,VND506093857D,B7228693,1872
2026-07-02,118,VND506093857D,B722916,10910
2026-07-02,118,VND506093857D,B722970,2972
2026-07-02,118,VND506093857D,B7233472,48171
2026-07-02,118,VND506093857D,B7233742,3412
2026-07-02,118,VND506093857D,B7233746,20427
2026-07-02,118,VND506093857D,B7233956,59156
2026-07-02,118,VND506093857D,B7233958,3408
2026-07-02,118,VND506093857D,B7233959,88065
2026-07-02,118,VND506093857D,B7233963,10434
2026-07-02,118,VND506093857D,B7233967,20463
2026-07-02,118,VND506093857D,B7233970,8228
2026-07-02,118,VND506093857D,B7233973,24392
2026-07-02,118,VND506093857D,B7233983,2249
2026-07-02,118,VND506093857D,B7233984,2249
2026-07-02,118,VND506093857D,B7233985,2249
2026-07-02,118,VND506093857D,B7233998,62494
2026-07-02,118,VND506093857D,B7234000,61841
2026-07-02,118,VND506093857D,B7234010,2249
2026-07-02,118,VND506093857D,B7234011,2249
2026-07-02,118,VND506093857D,B7234012,2249
2026-07-02,118,VND506093857D,B7234013,2249
2026-07-02,118,VND506093857D,B7234014,2249
2026-07-02,118,VND506093857D,B7234015,2249
2026-07-02,118,VND506093857D,B7234016,2249
2026-07-02,118,VND506093857D,B7234076,2249
2026-07-02,118,VND506093857D,B7234077,2249
2026-07-02,118,VND506093857D,B7234078,2249
2026-07-02,118,VND506093857D,B7234079,2249
2026-07-02,118,VND506093857D,B7234080,2249
2026-07-02,118,VND506093857D,B7234085,6404
2026-07-02,118,VND506093857D,B7234086,86292
2026-07-02,118,VND506093857D,B7234089,78271
2026-07-02,118,VND506093857D,B7234090,69725
2026-07-02,118,VND506093857D,B7234092,90251
2026-07-02,118,VND506093857D,B7234169,13948
2026-07-02,118,VND506093857D,B7238499,1799
2026-07-02,118,VND506093857D,B7238500,1799
2026-07-02,118,VND506093857D,B7238703,100531
2026-07-02,118,VND506093857D,B7238747,36250
2026-07-02,118,VND506093857D,B7238873,1799
2026-07-02,118,VND506093857D,B7243514,2699
2026-07-02,118,VND506093857D,B7244105,40734
2026-07-02,118,VND506093857D,B7244112,4016
2026-07-02,118,VND506093857D,B7244113,4016
2026-07-02,118,VND506093857D,B7244114,4016
2026-07-02,118,VND506093857D,B7264084,32167
2026-07-02,119,VND9B57336C00,206681,293750
2026-07-02,119,VND9B57336C00,206711,112500
2026-07-02,120,VND4F67A130AA,0625-253931,15921
2026-07-02,120,VND4F67A130AA,0625-253954,3365
2026-07-02,120,VND4F67A130AA,0625-253978,30447
2026-07-02,120,VND4F67A130AA,0625-253979,7812
2026-07-02,120,VND4F67A130AA,0625-254051,4794
2026-07-02,120,VND4F67A130AA,0625-254182,3834
2026-07-02,120,VND4F67A130AA,0625-254186,4796
2026-07-02,120,VND4F67A130AA,0625-254223,7686
2026-07-02,120,VND4F67A130AA,0625-254268,1984
2026-07-02,120,VND4F67A130AA,0625-254391,3999
2026-07-02,120,VND4F67A130AA,0625-254394,7998
2026-07-02,120,VND4F67A130AA,0625-254407,3816
2026-07-02,120,VND4F67A130AA,0625-254450,31960
2026-07-02,120,VND4F67A130AA,0625-254490,10878
2026-07-02,120,VND4F67A130AA,0625-254504,3039
2026-07-02,120,VND4F67A130AA,0625-254549,32000
2026-07-02,120,VND4F67A130AA,0625-254702,16245
2026-07-02,120,VND4F67A130AA,0625-255308,11216
2026-07-02,120,VND4F67A130AA,0625-255442,3998
2026-07-02,120,VND4F67A130AA,0625-255448,2058
2026-07-02,120,VND4F67A130AA,0633-438469,5977
2026-07-02,121,VND89ADEAAFFF,A868649,6397
2026-07-02,122,VND5094732D1B,454294,9990
2026-07-02,123,VNDB93FF19FB7,90227825,55000
2026-07-02,124,VND332B7967A4,INV0282459,305400
2026-07-02,125,VND14CAEF34EE,17-156,110000
2026-07-02,125,VND14CAEF34EE,17-157,20000
2026-07-02,126,VND66205EC106,49210017,35195
2026-07-02,126,VND66205EC106,49226845,50378
2026-07-02,126,VND66205EC106,49233775,1878
2026-07-02,128,VNDA3D6DA1092,JUNE 2ND HALF 26,866665
2026-07-02,129,VND89370A1512,4175712,11400
