Entity ID,Type,Debit,Credit,Amount,Currency,Fee,Tax,On Hold,Settled,Created At,Settled At,Settlement ID,Settlement UTR,Order ID,Order Receipt,Method
pay_S1000606003,payment,0.00,10746.26,11006.00,INR,259.74,39.62,False,True,07/09/2026 10:00:00,09/09/2026 11:00:00,setl_SAMPLE000001,UTIB0000SMPL0001,order_S1001,rcpt_1001,card
pay_S1001108624,payment,0.00,11987.00,11987.00,INR,0.00,0.00,False,True,07/09/2026 10:17:00,09/09/2026 11:00:00,setl_SAMPLE000001,UTIB0000SMPL0001,order_S1002,rcpt_1002,upi
pay_S1002107659,payment,0.00,3879.00,3879.00,INR,0.00,0.00,False,True,07/09/2026 10:34:00,09/09/2026 11:00:00,setl_SAMPLE000001,UTIB0000SMPL0001,order_S1003,rcpt_1003,upi
pay_S1003754555,payment,0.00,5951.10,5957.00,INR,5.90,0.90,False,True,07/09/2026 10:51:00,09/09/2026 11:00:00,setl_SAMPLE000001,UTIB0000SMPL0001,order_S1004,rcpt_1004,netbanking
pay_S1004892087,payment,0.00,758.66,777.00,INR,18.34,2.80,False,True,07/09/2026 11:08:00,09/09/2026 11:00:00,setl_SAMPLE000001,UTIB0000SMPL0001,order_S1005,rcpt_1005,wallet
pay_S1005813801,payment,0.00,6952.94,7121.00,INR,168.06,25.64,False,True,07/09/2026 11:25:00,09/09/2026 11:00:00,setl_SAMPLE000001,UTIB0000SMPL0001,order_S1006,rcpt_1006,card
pay_S1006137147,payment,0.00,5318.00,5318.00,INR,0.00,0.00,False,True,07/09/2026 11:42:00,09/09/2026 11:00:00,setl_SAMPLE000001,UTIB0000SMPL0001,order_S1007,rcpt_1007,upi
pay_S1007469846,payment,0.00,9434.95,9663.00,INR,228.05,34.79,False,True,07/09/2026 11:59:00,09/09/2026 11:00:00,setl_SAMPLE000001,UTIB0000SMPL0001,order_S1008,rcpt_1008,card
pay_S1008167058,payment,0.00,12214.00,12214.00,INR,0.00,0.00,False,True,07/09/2026 12:16:00,09/09/2026 11:00:00,setl_SAMPLE000001,UTIB0000SMPL0001,order_S1009,rcpt_1009,upi
pay_S1009065367,payment,0.00,1154.00,1154.00,INR,0.00,0.00,False,True,07/09/2026 12:33:00,09/09/2026 11:00:00,setl_SAMPLE000001,UTIB0000SMPL0001,order_S1010,rcpt_1010,upi
rfnd_S120625626,refund,316.00,0.00,316.00,INR,0.00,0.00,False,True,07/09/2026 15:00:00,09/09/2026 11:00:00,setl_SAMPLE000001,UTIB0000SMPL0001,order_S1001,,card
pay_S2000263478,payment,0.00,3697.00,3697.00,INR,0.00,0.00,False,True,08/09/2026 10:00:00,10/09/2026 11:00:00,setl_SAMPLE000002,UTIB0000SMPL0002,order_S1011,rcpt_1011,upi
pay_S2001013316,payment,0.00,11136.00,11136.00,INR,0.00,0.00,False,True,08/09/2026 10:17:00,10/09/2026 11:00:00,setl_SAMPLE000002,UTIB0000SMPL0002,order_S1012,rcpt_1012,upi
pay_S2002766419,payment,0.00,5063.10,5069.00,INR,5.90,0.90,False,True,08/09/2026 10:34:00,10/09/2026 11:00:00,setl_SAMPLE000002,UTIB0000SMPL0002,order_S1013,rcpt_1013,netbanking
pay_S2003478915,payment,0.00,8363.77,8618.00,INR,254.23,38.78,False,True,08/09/2026 10:51:00,10/09/2026 11:00:00,setl_SAMPLE000002,UTIB0000SMPL0002,order_S1014,rcpt_1014,card
pay_S2004755994,payment,0.00,10918.10,11182.00,INR,263.90,40.26,False,True,08/09/2026 11:08:00,10/09/2026 11:00:00,setl_SAMPLE000002,UTIB0000SMPL0002,order_S1015,rcpt_1015,card
pay_S2005514375,payment,0.00,3199.00,3199.00,INR,0.00,0.00,False,True,08/09/2026 11:25:00,10/09/2026 11:00:00,setl_SAMPLE000002,UTIB0000SMPL0002,order_S1016,rcpt_1016,upi
pay_S2006444458,payment,0.00,2395.11,2453.00,INR,57.89,8.83,False,True,08/09/2026 11:42:00,10/09/2026 11:00:00,setl_SAMPLE000002,UTIB0000SMPL0002,order_S1017,rcpt_1017,card
pay_S2007881693,payment,0.00,5474.00,5474.00,INR,0.00,0.00,False,True,08/09/2026 11:59:00,10/09/2026 11:00:00,setl_SAMPLE000002,UTIB0000SMPL0002,order_S1018,rcpt_1018,upi
pay_S2008329181,payment,0.00,3839.00,3839.00,INR,0.00,0.00,False,True,08/09/2026 12:16:00,10/09/2026 11:00:00,setl_SAMPLE000002,UTIB0000SMPL0002,order_S1019,rcpt_1019,upi
pay_S2009265597,payment,0.00,9613.10,9619.00,INR,5.90,0.90,False,True,08/09/2026 12:33:00,10/09/2026 11:00:00,setl_SAMPLE000002,UTIB0000SMPL0002,order_S1020,rcpt_1020,netbanking
pay_S2010311823,payment,0.00,2621.63,2685.00,INR,63.37,9.67,False,True,08/09/2026 12:50:00,10/09/2026 11:00:00,setl_SAMPLE000002,UTIB0000SMPL0002,order_S1021,rcpt_1021,wallet
pay_S2011820628,payment,0.00,2240.84,2295.00,INR,54.16,8.26,False,True,08/09/2026 13:07:00,10/09/2026 11:00:00,setl_SAMPLE000002,UTIB0000SMPL0002,order_S1022,rcpt_1022,card
rfnd_S262595861,refund,516.00,0.00,516.00,INR,0.00,0.00,False,True,08/09/2026 15:00:00,10/09/2026 11:00:00,setl_SAMPLE000002,UTIB0000SMPL0002,order_S1011,,upi
pay_S3000316549,payment,0.00,2935.00,2935.00,INR,0.00,0.00,False,True,09/09/2026 10:00:00,11/09/2026 11:00:00,setl_SAMPLE000003,UTIB0000SMPL0003,order_S1023,rcpt_1023,upi
