txn_id,ref_id,amount,currency,timestamp,memo
pay_0000,SETTLE-001-ORDER000,4516.65,INR,2026-08-31T00:09:38.199273Z,Card capture SETTLE-001-ORDER000
pay_0001,SETTLE-001-ORDER001,5493.93,INR,2026-08-31T00:16:38.199273Z,Card capture SETTLE-001-ORDER001
pay_0002,SETTLE-001-ORDER002,8810.32,INR,2026-08-31T00:23:38.199273Z,Card capture SETTLE-001-ORDER002
pay_0003,SETTLE-001-ORDER003,4637.42,INR,2026-08-31T00:30:38.199273Z,Card capture SETTLE-001-ORDER003
pay_0004,SETTLE-001-ORDER004,5021.36,INR,2026-08-31T00:37:38.199273Z,Card capture SETTLE-001-ORDER004
pay_0005,SETTLE-001-ORDER005,5745.20,INR,2026-08-31T00:44:38.199273Z,Card capture SETTLE-001-ORDER005
pay_0006,SETTLE-001-ORDER006,2080.41,INR,2026-08-31T00:51:38.199273Z,Card capture SETTLE-001-ORDER006
pay_0007,SETTLE-001-ORDER007,5058.37,INR,2026-08-31T00:58:38.199273Z,Card capture SETTLE-001-ORDER007
pay_0008,SETTLE-001-ORDER008,6131.93,INR,2026-08-31T01:05:38.199273Z,Card capture SETTLE-001-ORDER008
pay_0009,SETTLE-001-ORDER009,7616.09,INR,2026-08-31T01:12:38.199273Z,Card capture SETTLE-001-ORDER009
pay_0010,SETTLE-001-ORDER010,1256.52,INR,2026-08-31T01:19:38.199273Z,Card capture SETTLE-001-ORDER010
pay_0011,SETTLE-001-ORDER011,3160.95,INR,2026-08-31T01:26:38.199273Z,Card capture SETTLE-001-ORDER011
pay_0012,SETTLE-001-ORDER012,1225.10,INR,2026-08-31T01:33:38.199273Z,Card capture SETTLE-001-ORDER012
pay_0013,SETTLE-001-ORDER013,7767.77,INR,2026-08-31T01:40:38.199273Z,Card capture SETTLE-001-ORDER013
pay_0014,ORD20014,6710.29,INR,2026-08-31T01:47:38.199273Z,Card capture ORD20014
pay_0015,ORD20015,781.11,INR,2026-08-31T01:54:38.199273Z,Card capture ORD20015
pay_0016,ORD20016,9337.96,INR,2026-08-31T02:01:38.199273Z,Card capture ORD20016
pay_0017,ORD20017,9179.30,INR,2026-08-31T02:08:38.199273Z,Card capture ORD20017
pay_0018,ORD20018,6350.70,INR,2026-08-31T02:15:38.199273Z,Card capture ORD20018
pay_0019,ORD20019,6001.62,INR,2026-08-31T02:22:38.199273Z,Card capture ORD20019
pay_0020,ORD20020,1833.20,INR,2026-08-31T02:29:38.199273Z,Card capture ORD20020
pay_0021,ORD20021,536.51,INR,2026-08-31T02:36:38.199273Z,Card capture ORD20021
pay_0022,ORD20022,5208.27,INR,2026-08-31T02:43:38.199273Z,Card capture ORD20022
pay_0023,ORD20023,941.92,INR,2026-08-31T02:50:38.199273Z,Card capture ORD20023
pay_0024,ORD20024,2130.90,INR,2026-08-31T02:57:38.199273Z,Card capture ORD20024
pay_0025,ORD20025,2601.68,INR,2026-08-31T03:04:38.199273Z,Card capture ORD20025
pay_0026,ORD20026,673.75,INR,2026-08-31T03:11:38.199273Z,Card capture ORD20026
pay_0027,ORD20027,4621.80,INR,2026-08-31T03:18:38.199273Z,Card capture ORD20027
pay_0028,ORD20028,4408.83,INR,2026-08-31T03:25:38.199273Z,Card capture ORD20028
pay_0029,ORD20029,8066.09,INR,2026-08-31T03:32:38.199273Z,Card capture ORD20029
pay_0030,ORD20030,5124.03,INR,2026-08-31T03:39:38.199273Z,Card capture ORD20030
pay_0031,ORD20031,6226.65,INR,2026-08-31T03:46:38.199273Z,Card capture ORD20031
pay_0032,ORD20032,4947.94,INR,2026-08-31T03:53:38.199273Z,Card capture ORD20032
pay_0033,ORD20033,6428.29,INR,2026-08-31T04:00:38.199273Z,Card capture ORD20033
pay_0034,ORD20034,4561.70,INR,2026-08-31T04:07:38.199273Z,Card capture ORD20034
pay_0035,ORD20035,2931.28,INR,2026-08-31T04:14:38.199273Z,Card capture ORD20035
pay_0036,ORD20036,9478.67,INR,2026-08-31T04:21:38.199273Z,Card capture ORD20036
pay_0037,ORD20037,9460.79,INR,2026-08-31T04:28:38.199273Z,Card capture ORD20037
pay_0038,ORD20038,8045.96,INR,2026-08-31T04:35:38.199273Z,Card capture ORD20038
pay_0039,ORD20039,6841.07,INR,2026-08-31T04:42:38.199273Z,Card capture ORD20039
pay_0040,ORD20040,3269.02,INR,2026-08-31T04:49:38.199273Z,Card capture ORD20040
pay_0041,ORD20041,2489.96,INR,2026-08-31T04:56:38.199273Z,Card capture ORD20041
pay_0042,ORD20042,3030.26,INR,2026-08-31T05:03:38.199273Z,Card capture ORD20042
pay_0043,ORD20043,1039.03,INR,2026-08-31T05:10:38.199273Z,Card capture ORD20043
pay_0044,ORD20044,7373.22,INR,2026-08-31T05:17:38.199273Z,Card capture ORD20044
